SIM4ME,,,,,,,,,,,,,,,,,,,,,,,
#TYPE,FROM ENGINE,FROM SYMBOL,FROM VALUE INFO,FROM VALUE UOM,TO ENGINE,TO SYMBOL,TO VALUE INFO,TO VALUE UOM,PERIOD,EQUATION,DESCRIPTION,CONV TYPE,TOLERANCE,MIN SCALE,MAX SCALE,LOW LIMIT,HI LIMIT,MISC1,MISC2,MISC3,MISC4,MISC5,COMMENTS
A,DYN,ZERO, refs,,SCP,1MT:B7.POINT,1I0271:3,PCT,,,BYPS TURB OIL TMP REG FB,3,0,0,100,-2,102,AIN : 1CP987,,,,,
A,DYN,ZERO, refs,,SCP,1MT:B8.POINT,1I0272:1,PCT,,,TURB OIL TMP      REG FB,3,0,0,100,-2,102,AIN : 1CP987,,,,,
A,SCP,1MT:B14.OUT,1I0272:5,PCT,DYN,ANAOUT,,,,,BYP OIL TEMP DEM,0,0,0,100,-2,102,AOUT : 1CP987,,,,,
A,SCP,1MT:B15.OUT,1I0271:5,PCT,DYN,ANAOUT,,,,,MAIN OIL TEMP REG DEM,0,0,0,100,-2,102,AOUT : 1CP987,,,,,
A,SCP,1MT:B16.OUT,1I0271:6,DEGF,DYN,ANAOUT,,,,,TURB OIL COOLER   TEMP,0,0,0,200,-4,204,AOUT : 1CP987,,,,,
A,SCP,1MT:B18.OUT,1I0272:6,PCT,DYN,ANAOUT,,,,,PRESS REG DEM,0,0,0,100,-2,102,AOUT : 1CP987,,,,,
A,SCP,1MT:B23.OUT,1I0272:7,RPM,DYN,ANAOUT,,,,,TURB SPEED TO IND,0,0,0,5000,-100,5100,AOUT : 1CP987,,,,,
A,SCP,1MT:B24.OUT,1I0263:6,DEGF,DYN,ANAOUT,,,,,TURB OIL COOLER   TEMP TO EHC,0,0,0,200,-4,204,AOUT : 1CP987,,,,,
A,DYN,ZERO, refs,,SCP,1PB:B1.POINT,1I0271:4,PSIG,,,PREBOILER         BACKPRESS ,3,0,0,1000,-20,1020,AIN : 1CP987,,,,,
A,DYN,ZERO, refs,,SCP,1PB:B2.POINT,1I0272:2,PCT,,,PREBOILER PRESS   REG FB,3,0,0,100,-2,102,AIN : 1CP987,,,,,
A,DYN,ZERO, refs,,SCP,1PB:B3.POINT,1I0272:3,PCT,,,#1 HTR FLOW CNTRL,3,0,0,100,-2,102,AIN : 1CP987,,,,,
A,SCP,1PB:B5.OUT,1I0271:7,PCT,DYN,ANAOUT,,,,,PREBLR PRESS REG  DEM,0,0,0,100,-2,102,AOUT : 1CP987,,,,,
A,SCP,1PB:B6.OUT,1I0272:8,PSIG,DYN,ANAOUT,,,,,PREBLR BACKPRESSURE,0,0,0,1000,-20,1020,AOUT : 1CP987,,,,,
A,SCP,1PB:B7.OUT,1I0271:8,PCT,DYN,ANAOUT,,,,,PREBLR #1 HTR FLOWREG,0,0,0,100,-2,102,AOUT : 1CP987,,,,,
A,DYN,ZERO, refs,,SCP,1OT:B1.POINT,1I0288:3,DEGF,,,A BFPT OIL CLR    TEMP,43,0,0,200,-4,204,AIN : 1CP987,,,,,
A,DYN,ZERO, refs,,SCP,1OT:B2.POINT,1I0288:4,DEGF,,,B BFPT OIL CLR    TEMP,43,0,0,200,-4,204,AIN : 1CP987,,,,,
A,DYN,ZERO, refs,,SCP,1OT:B3.POINT,1I0273:1,PCT,,,A BFPT TEMP REG   POS FB,3,0,0,100,-2,102,AIN : 1CP987,,,,,
A,DYN,ZERO, refs,,SCP,1OT:B4.POINT,1I0274:1,PCT,,,B BFPT TEMP REG   POS FB,3,0,0,100,-2,102,AIN : 1CP987,,,,,
A,SCP,1OT:B6.OUT,1I0274:5,PCT,DYN,ANAOUT,,,,,A BFPT TEMP REG   DEM,0,0,0,100,-2,102,AOUT : 1CP987,,,,,
A,SCP,1OT:B7.OUT,1I0273:6,DEGF,DYN,ANAOUT,,,,,A BFPT OIL CLR    TEMP,0,0,0,200,-4,204,AOUT : 1CP987,,,,,
A,SCP,1OT:B9.OUT,1I0273:5,PCT,DYN,ANAOUT,,,,,B BFPT TEMP REG   DEM,0,0,0,100,-2,102,AOUT : 1CP987,,,,,
A,SCP,1OT:B10.OUT,1I0274:6,DEGF,DYN,ANAOUT,,,,,B BFPT OIL CLR    TEMP,0,0,0,200,-4,204,AOUT : 1CP987,,,,,
A,DYN,ZERO, refs,,SCP,1IWB:B1.POINT,1I0275:2,IWC,,,LH IGN WNDBOX     DIFF PRESS,3,0,0,10,-0.2,10.2,AIN : 1CP987,,,,,
A,DYN,ZERO, refs,,SCP,1IWB:B2.POINT,1I0287:2,IWC,,,RH IGN WNDBOX     DIFF PRESS,3,0,0,10,-0.2,10.2,AIN : 1CP987,,,,,
A,SCP,1IWB:B7.OUT,1I0275:6,PCT,DYN,ANAOUT,,,,,LH IGN WNDBOX     DMPR DEM,0,0,0,100,-2,102,AOUT : 1CP987,,,,,
A,SCP,1IWB:B8.OUT,1I0287:7,PCT,DYN,ANAOUT,,,,,RH IGN WNDBOX     DMPR DEM,0,0,0,100,-2,102,AOUT : 1CP987,,,,,
A,DYN,ZERO, refs,,SCP,1IWB:B9.POINT,1I0275:1,PCT,,,LH IGN WNDBOX     DMPR POS,3,0,0,100,-2,102,AIN : 1CP987,,,,,
A,DYN,ZERO, refs,,SCP,1IWB:B10.POINT,1I0287:1,PCT,,,RH IGN WNDBOX     DMPR POS,3,0,0,100,-2,102,AIN : 1CP987,,,,,
A,DYN,ZERO, refs,,SCP,1IWB:B12.POINT,1I0272:4,PSIG,,,FUEL OIL PRESS #1,3,0,0,500,-10,510,AIN : 1CP987,,,,,
A,SCP,1IWB:B18.OUT,1I0275:8,PCT,DYN,ANAOUT,,,,,FUEL OIL BACKPRESSREG DEM,0,0,0,100,-2,102,AOUT : 1CP987,,,,,
A,DYN,ZERO, refs,,SCP,1SW:B1.POINT,1I0278:3,DEGF,,,A BFP OUTBOARD    BEARING TMP,23,0,0,300,-346,2192,AIN : 1CP987,,,,,
A,DYN,ZERO, refs,,SCP,1SW:B2.POINT,1I0278:4,DEGF,,,A BFP INBOARD     BEARING TMP,23,0,0,300,-346,2192,AIN : 1CP987,,,,,
A,DYN,ZERO, refs,,SCP,1SW:B3.POINT,1I0278:1,DEGF,,,B BFP OUTBOARD    BEARING TMP,23,0,0,300,-346,2192,AIN : 1CP987,,,,,
A,DYN,ZERO, refs,,SCP,1SW:B4.POINT,1I0278:2,DEGF,,,B BFP INBOARD     BEARING TMP,23,0,0,300,-346,2192,AIN : 1CP987,,,,,
A,SCP,1SW:B9.OUT,1I0287:6,PCT,DYN,ANAOUT,,,,,A BFP OUTBOARD REGDEM,0,0,0,100,-2,102,AOUT : 1CP987,,,,,
A,SCP,1SW:B10.OUT,1I0275:5,PCT,DYN,ANAOUT,,,,,A BFP INBOARD  REGDEM,0,0,0,100,-2,102,AOUT : 1CP987,,,,,
A,SCP,1SW:B11.OUT,1I0273:8,PCT,DYN,ANAOUT,,,,,B BFP OUTBOARD REGDEM,0,0,0,100,-2,102,AOUT : 1CP987,,,,,
A,SCP,1SW:B12.OUT,1I0274:8,PCT,DYN,ANAOUT,,,,,B BFP INBOARD  REGDEM,0,0,0,100,-2,102,AOUT : 1CP987,,,,,
A,DYN,ZERO, refs,,SCP,1ACW:B1.POINT,1I0278:7,DEGF,,,ALTEREX TEMP,23,0,0,200,-346,2192,AIN : 1CP987,,,,,
A,SCP,1ACW:B3.OUT,1I0264:5,PCT,DYN,ANAOUT,,,,,ALT CLNG WTR REG  DEM,0,0,0,100,-2,102,AOUT : 1CP987,,,,,
A,DYN,ZERO, refs,,SCP,1PORV:B1.POINT,1I0251:1,PSI,,,SUPERHEAT PRESSUREX-MITTER  A ,3,0,0,5000,-100,5100,AIN : 1CP987,HAL = 3800 : HIGH,,,,
A,DYN,ZERO, refs,,SCP,1PORV:B2.POINT,1I0263:1,PSI,,,SUPERHEAT PRESSUREX-MITTER  B ,3,0,0,5000,-100,5100,AIN : 1CP987,HAL = 3800 : HIGH,,,,
A,DYN,ZERO, refs,,SCP,1PORV:B3.POINT,1I0264:1,PSI,,,SUPERHEAT PRESSUREX-MITTER  C ,3,0,0,5000,-100,5100,AIN : 1CP987,HAL = 3800 : HIGH,,,,
A,DYN,ZERO, refs,,SCP,1PORV:B55.POINT,1I0251:4,PSI,,,AIR RECEIVER      TANK PRESSURE,3,0,0,120,-2.4,122.4,AIN : 1CP987,,,,,
A,DYN,ZERO, refs,,SCP,1EHC:B1.POINT,1I0262:6,DEG F,,,EHC FLUID TEMP,23,0,0,200,-346,2192,AIN : 1CP987,,,,,
A,SCP,1EHC:B4.OUT,1I0251:5,PCT,DYN,ANAOUT,,,,,EHC FLUID TEMP    I/P DEM EAST,0,0,0,100,-2,102,AOUT : 1CP987,,,,,
A,SCP,1EHC:B5.OUT,1I0251:6,PCT,DYN,ANAOUT,,,,,EHC FLUID TEMP    I/P DEM WEST,0,0,0,100,-2,102,AOUT : 1CP987,,,,,
A,DYN,ZERO, refs,,SCP,1BNKLVL:B1.POINT,1I0251:2,PCT,,,1A BUNKER LEVEL,3,0,0,100,-2,102,AIN : 1CP987,,,,,
A,DYN,ZERO, refs,,SCP,1BNKLVL:B2.POINT,1I0251:3,PCT,,,1B BUNKER LEVEL,3,0,0,100,-2,102,AIN : 1CP987,,,,,
A,DYN,ZERO, refs,,SCP,1BNKLVL:B3.POINT,1I0263:2,PCT,,,1C BUNKER LEVEL,3,0,0,100,-2,102,AIN : 1CP987,,,,,
A,DYN,ZERO, refs,,SCP,1BNKLVL:B4.POINT,1I0263:3,PCT,,,1D BUNKER LEVEL,3,0,0,100,-2,102,AIN : 1CP987,,,,,
A,DYN,ZERO, refs,,SCP,1BNKLVL:B5.POINT,1I0264:2,PCT,,,1E BUNKER LEVEL,3,0,0,100,-2,102,AIN : 1CP987,,,,,
A,DYN,ZERO, refs,,SCP,1BNKLVL:B6.POINT,1I0264:3,PCT,,,1F BUNKER LEVEL,3,0,0,100,-2,102,AIN : 1CP987,,,,,
A,DYN,ZERO, refs,,SCP,1BNKLVL:B7.POINT,1I0264:4,PCT,,,1G BUNKER LEVEL,3,0,0,100,-2,102,AIN : 1CP987,,,,,
A,DYN,ZERO, refs,,SCP,1CCT:B1.POINT,1I0263:4,IN.,,,COND. COLLECTING TANK LVL,3,0,-16,16,-16.64,16.64,AIN : 1CP987,,,,,
A,SCP,1CCT:B3.OUT,1I0264:6,PCT,DYN,ANAOUT,,,,,COND. COLLECTING TANK VLV.,0,0,0,100,-2,102,AOUT : 1CP987,,,,,
A,DYN,ZERO, refs,,SCP,1CCT:B6.POINT,1I0274:4,PCT,,,COND COLL.     VLV. POS.,3,0,0,100,-2,102,AIN : 1CP987,,,,,
A,DYN,ZERO, refs,,SCP,1MLO1:PT012_C.POINT,1I0283:1,PSI,,,ANALOG IN FOR HISTORIAN,3,0,0,50,-1,51,AIN : 1CP987 : UNIT 1 PT012_C,,,,,
A,DYN,ZERO, refs,,SCP,1MLO1:B3.POINT,1I0283:1,PSI,,,1C MILL LUBE OIL  PRESSURE,3,0,0,50,-1,51,AIN : 1CP987,LAL = 12 : C MILL LUBE OIL PRESS LOW ; ,,,,
A,DYN,ZERO, refs,,SCP,1MLO1:PT012_D.POINT,1I0273:4,PSI,,,D MILL INPUT FOR HISTORIAN,3,0,0,50,-1,51,AIN : 1CP987 : UNIT 1 PT012_D,,,,,
A,DYN,ZERO, refs,,SCP,1MLO1:B4.POINT,1I0273:4,PSI,,,1D MILL LUBE OIL  PRESSURE,3,0,0,50,-1,51,AIN : 1CP987,LAL = 12 : D MILL LUBE OIL PRESS LOW ; ,,,,
A,DYN,ZERO, refs,,SCP,1MLO1:PT012_B.POINT,1I0287:3,PSI,,,B MILL INPUT FOR HISTORIAN,3,0,0,50,-1,51,AIN : 1CP987 : UNIT 1 PT012_B,,,,,
A,DYN,ZERO, refs,,SCP,1MLO1:B2.POINT,1I0287:3,PSI,,,1B MILL LUBE OIL  PRESSURE,3,0,0,50,-1,51,AIN : 1CP987,LAL = 12 : B MILL LUBE OIL PRESS LOW ; ,,,,
A,DYN,ZERO, refs,,SCP,1MLO1:PT012_A.POINT,1I0275:3,PSI,,,A MILL INPUT FOR HISTORIAN,3,0,0,50,-1,51,AIN : 1CP987 : UNIT 1 PT012_A,,,,,
A,DYN,ZERO, refs,,SCP,1MLO1:B1.POINT,1I0275:3,PSI,,,1A MILL LUBE OIL  PRESSURE,3,0,0,50,-1,51,AIN : 1CP987,LAL = 12 : A MILL LUBE OIL PRESS LOW ; ,,,,
A,DYN,ZERO, refs,,SCP,STATUS_TAP:CAB3_TEMP.POINT,1I0262:1,DEG F,,,BC CAB 3 TEMP,23,0,0,200,-346,2192,AIN : 1CP987,,,,,
A,SCP,1RSCC_BD:1ABFZ5250.OUT,1FG628:8,GPM,DYN,ANAOUT,,,,,U1 RSCC BLOWDN FLW SETPT TO AWT,0,0,0,2000,-40,2040,AOUT : 1CP764 : WANO522526,,,,,
A,DYN,ZERO, refs,,SCP,1RSCC_BD:1ABFX5250.POINT,1FG628:4,GPM,,,RSCC BLOWDN TO JBR FLOW TO U1,3,0,0,2000,-40,2040,AIN : 1CP764 : WAN0F0F2251,,,,,
A,DYN,ZERO, refs,,SCP,1LOUVR_DMPR:FGZT5220A.POINT,1FG928:4,PCT,,,FGD LOUVER INLET  BLADE POS,3,0,0,100,-2,102,AIN : 1CP764 : D1I48012,,,,,
A,DYN,ZERO, refs,,SCP,1LOUVR_DMPR:FGZT5220B.POINT,1FG938:4,PCT,,,FGD LOUVER BYPASS BLADE POS,3,0,0,100,-2,102,AIN : 1CP764 : D1I48012,,,,,
A,DYN,ZERO, refs,,SCP,1LOUVR_DMPR:FGPOS5220A.POINT,1FG928:3,PCT,,,FGD INLET LOUVER  DRIVE POSITION,3,0,0,100,-2,102,AIN : 1CP764 : D1I48012,,,,,
A,DYN,ZERO, refs,,SCP,1LOUVR_DMPR:FGPOS5220B.POINT,1FG938:3,PCT,,,FGD BYPASS LOUVER DRIVE POSITION,3,0,0,100,-2,102,AIN : 1CP764 : D1I48012,,,,,
A,SCP,1LOUVR_DMPR:FGXV5220A.OUT,1FG928:7,PCT,DYN,ANAOUT,,,,,FGD INLET LOUVR   DRIVE POS DMD,0,0,0,100,-2,102,AOUT : 1CP764 : D1I48012,,,,,
A,SCP,1LOUVR_DMPR:FGXV5220B.OUT,1FG938:7,PCT,DYN,ANAOUT,,,,,FGD BYP LOUVR     DRIVE POS DMD,0,0,0,100,-2,102,AOUT : 1CP764 : D1I48012,,,,,
A,DYN,ZERO, refs,,SCP,1SAV_A:SLPDIT5220A.POINT,1FG617:1,INWC,,,FGD INLET LOUVR SA DIFF PRESS,3,0,0,10,-0.2,10.2,AIN : 1CP764 : D1I48017,LAL = 2 : LOW SA A DP ; ,,,,
A,DYN,ZERO, refs,,SCP,1SAV_B:SLPDIT5220B.POINT,1FG627:1,INWC,,,FGD BYP LOUVR SA  DIFF PRESS,3,0,0,10,-0.2,10.2,AIN : 1CP764 : D1I48021,LAL = 2 : LOW SA B DP ; ,,,,
A,DYN,ZERO, refs,,SCP,1SEAL_AIR:SLZT5200.POINT,1FG628:3,PCT,,,FGD SEAL AIR CNTRL   VALVE POS,3,0,0,100,-2,102,AIN : 1CP764 : D1I48026,,,,,
A,SCP,1SEAL_AIR:SLPDV5200.OUT,1FG628:7,PCT,DYN,ANAOUT,,,,,FGD SEAL AIR CNTRL   VALVE DMD,0,0,0,100,-2,102,AOUT : 1CP764 : D1I48026,,,,,
A,DYN,ZERO, refs,,SCP,1BF:FGPIT5730A.POINT,1FG917:5,INWC,,,ID FAN DISCH PRESS A,3,0,-50,50,-52,52,AIN : 1CP764 : D1I48420,,,,,
A,DYN,ZERO, refs,,SCP,1BF:FGPIT5730B.POINT,1FG927:5,INWC,,,ID FAN DISCH PRESS B,3,0,-50,50,-52,52,AIN : 1CP764 : D1I48420,,,,,
A,DYN,ZERO, refs,,SCP,1BF:FGPIT5730C.POINT,1FG937:5,INWC,,,ID FAN DISCH PRESS C,3,0,-50,50,-52,52,AIN : 1CP764 : D1I48420,,,,,
A,DYN,ZERO, refs,,SCP,1BF:FGPIT5732A.POINT,1FG917:1,INWC,,,IDBF INLET DUCT   PRESSURE A,3,0,-50,50,-52,52,AIN : 1CP764 : D1I48400,,,,,
A,DYN,ZERO, refs,,SCP,1BF:FGPIT5732B.POINT,1FG927:1,INWC,,,IDBF INLET DUCT   PRESSURE B,3,0,-50,50,-52,52,AIN : 1CP764 : D1I48400,,,,,
A,DYN,ZERO, refs,,SCP,1BF:FGPIT5732C.POINT,1FG937:1,INWC,,,IDBF INLET DUCT   PRESSURE C,3,0,-50,50,-52,52,AIN : 1CP764 : D1I48400,,,,,
A,DYN,ZERO, refs,,SCP,1BFLO_A:LOPIT5150AA.POINT,1FG917:3,PSIG,,,IDBF 1A LO SUPPLY PRESS A,3,0,0,200,-4,204,AIN : 1CP764 : D1I48470,,,,,
A,DYN,ZERO, refs,,SCP,1BFLO_A:LOPIT5150AB.POINT,1FG927:3,PSIG,,,IDBF 1A LO SUPPLY PRESS B,3,0,0,200,-4,204,AIN : 1CP764 : D1I48470,,,,,
A,DYN,ZERO, refs,,SCP,1BFLO_A:LOPIT5150AC.POINT,1FG937:3,PSIG,,,IDBF 1A LO SUPPLY PRESS C,3,0,0,200,-4,204,AIN : 1CP764 : D1I48470,,,,,
A,DYN,ZERO, refs,,SCP,1BFLO_A:LOPDIT5150A.POINT,1FG927:6,PSID,,,IDBF 1A LO FILTER DP,3,0,0,100,-2,102,AIN : 1CP764 : D1I48470,HAL = 50 : HIGH DP,,,,
A,DYN,ZERO, refs,,SCP,1BFLO_A:LOTE5150AA.POINT,1FG916:4,DEGF,,,IDBF 1A LO TANK   TEMPERATURE,43,0,32,212,28.4,215.6,AIN : 1CP764 : D1I48471,LAL = 60 : LOW TEMP ; HAL = 150 : HIGH TEMP,,,,
A,DYN,ZERO, refs,,SCP,1BFLO_A:LOTE5150AD.POINT,1FG916:3,DEGF,,,IDBF 1A LO SUPPLY TEMPERATURE,43,0,32,212,28.4,215.6,AIN : 1CP764 : D1I48471,LAL = 0 : LOW TEMP ; HAL = 125 : HIGH TEMP,,,,
A,DYN,ZERO, refs,,SCP,1BFLO_A:LOLIT5150A.POINT,1FG917:6,INCHES,,,IDBF A LUBE OIL SKID A OIL LVL,3,0,0,23,-0.46,23.46,AIN : 1CP764 : D1I48471,LAL = 6 : LOW LEVEL ; ,,,,
A,DYN,ZERO, refs,,SCP,1BF_A:MODDPSH100.POINT,SIMOPT = 0,,,,,0,0,0,4294970000,0,4294970000,IIN : 1CP764,,,,,
A,DYN,ZERO, refs,,SCP,1BF_A:MODMO100AIA.POINT,SIMOPT = 0,AMPS,,,ID BSTR FAN A MTR AMPS PH A,0,0,0,1500,-30,1530,RIN : 1CP764 : D1I48432,,,,,
A,DYN,ZERO, refs,,SCP,1BF_A:MODMO100AIB.POINT,SIMOPT = 0,AMPS,,,ID BSTR FAN A MTR AMPS PH B,0,0,0,1500,-30,1530,RIN : 1CP764 : D1I48432,,,,,
A,DYN,ZERO, refs,,SCP,1BF_A:MODMO100AIC.POINT,SIMOPT = 0,AMPS,,,ID BSTR FAN A MTR AMPS PH C,0,0,0,1500,-30,1530,RIN : 1CP764 : D1I48432,,,,,
A,DYN,ZERO, refs,,SCP,1BF_A:MODMO100AJ.POINT,SIMOPT = 0,MW,,,ID BSTR FAN A MTR MW,0,0,0,20.7,-0.414,21.114,RIN : 1CP764 : D1I48432,,,,,
A,DYN,ZERO, refs,,SCP,1BF_A:MODMO100AK.POINT,SIMOPT = 0,,,,ID BSTR FAN A MTR RESTART TIME,0,0,0,4294970000,0,4294970000,IIN : 1CP764 : D1I48432,,,,,
A,DYN,ZERO, refs,,SCP,1BF_A:MODTE100AA.POINT,SIMOPT = 0,,,,IDBF A MOTOR      STATOR A TEMP,0,0,0,4294970000,0,4294970000,IIN : 1CP764 : D1I48478,,,,,
A,DYN,ZERO, refs,,SCP,1BF_A:MODTE100AB.POINT,SIMOPT = 0,,,,IDBF A MOTOR      STATOR B TEMP,0,0,0,4294970000,0,4294970000,IIN : 1CP764 : D1I48478,,,,,
A,DYN,ZERO, refs,,SCP,1BF_A:MODTE100AC.POINT,SIMOPT = 0,,,,IDBF A MOTOR      STATOR C TEMP,0,0,0,4294970000,0,4294970000,IIN : 1CP764 : D1I48478,,,,,
A,DYN,ZERO, refs,,SCP,1BF_A:MODTE100AD.POINT,SIMOPT = 0,,,,IDBF A MOTOR      STATOR D TEMP,0,0,0,4294970000,0,4294970000,IIN : 1CP764 : D1I48478,,,,,
A,DYN,ZERO, refs,,SCP,1BF_A:MODTE100AE.POINT,SIMOPT = 0,,,,IDBF A MOTOR      STATOR E TEMP,0,0,0,4294970000,0,4294970000,IIN : 1CP764 : D1I48478,,,,,
A,DYN,ZERO, refs,,SCP,1BF_A:MODTE100AF.POINT,SIMOPT = 0,,,,IDBF A MOTOR      STATOR F TEMP,0,0,0,4294970000,0,4294970000,IIN : 1CP764 : D1I48478,,,,,
A,DYN,ZERO, refs,,SCP,1BF_A:MODTE100AG.POINT,SIMOPT = 0,,,,IDBF A MOTOR OUTBD BRG TEMP,0,0,0,4294970000,0,4294970000,IIN : 1CP764 : D1I48478,,,,,
A,DYN,ZERO, refs,,SCP,1BF_A:MODTE100AH.POINT,SIMOPT = 0,,,,IDBF A MOTOR INBD  BRG TEMP,0,0,0,4294970000,0,4294970000,IIN : 1CP764 : D1I48478,,,,,
A,DYN,ZERO, refs,,SCP,1BF_A:FGTE5100AJ.POINT,1FG916:1,DEGF,,,IDBF 1A INBOARD   BRG TEMP,43,0,0,300,-6,306,AIN : 1CP764 : D1I48477,HAL = 180 : HIGH TEMP,,,,
A,DYN,ZERO, refs,,SCP,1BF_A:FGTE5100AK.POINT,1FG916:2,DEGF,,,IDBF 1A OUTBOARD  BRG TEMP,43,0,0,300,-6,306,AIN : 1CP764 : D1I48477,HAL = 180 : HIGH TEMP,,,,
A,DYN,ZERO, refs,,SCP,1BF_A:MODTE100AL.POINT,SIMOPT = 0,,,,IDBF A MOTOR OUTBD BRG TEMP,0,0,0,4294970000,0,4294970000,IIN : 1CP764 : D1I48478,,,,,
A,DYN,ZERO, refs,,SCP,1BF_A:MODTE100AM.POINT,SIMOPT = 0,,,,IDBF A MOTOR INBD  BRG TEMP,0,0,0,4294970000,0,4294970000,IIN : 1CP764 : D1I48478,,,,,
A,DYN,ZERO, refs,,SCP,1BF_A:MODVKT100AC.POINT,SIMOPT = 0,,,,IDBF 1A MTR       KEY PHASOR,0,0,0,4294970000,0,4294970000,IIN : 1CP764 : D1I48479,,,,,
A,DYN,ZERO, refs,,SCP,1BF_A:MODVXT100AA.POINT,SIMOPT = 0,,,,IDBF 1A MTR       OUTBD VIBR XP,0,0,0,4294970000,0,4294970000,IIN : 1CP764 : D1I48479,,,,,
A,DYN,ZERO, refs,,SCP,1BF_A:MODVXT100AB.POINT,SIMOPT = 0,,,,IDBF 1A MTR       OUTBD VIBR XS,0,0,0,4294970000,0,4294970000,IIN : 1CP764 : D1I48479,,,,,
A,DYN,ZERO, refs,,SCP,1BF_A:MODVXT100AD.POINT,SIMOPT = 0,,,,IDBF 1A MTR       INBD VIBR XP,0,0,0,4294970000,0,4294970000,IIN : 1CP764 : D1I48479,,,,,
A,DYN,ZERO, refs,,SCP,1BF_A:MODVXT100AE.POINT,SIMOPT = 0,,,,IDBF 1A MTR       INBD VIBR XS,0,0,0,4294970000,0,4294970000,IIN : 1CP764 : D1I48479,,,,,
A,DYN,ZERO, refs,,SCP,1BF_A:MODVXT100AF.POINT,SIMOPT = 0,,,,IDBF 1A FAN       INBD VIBR XP,0,0,0,4294970000,0,4294970000,IIN : 1CP764 : D1I48479,,,,,
A,DYN,ZERO, refs,,SCP,1BF_A:MODVXT100AG.POINT,SIMOPT = 0,,,,IDBF 1A FAN       INBD VIBR XS,0,0,0,4294970000,0,4294970000,IIN : 1CP764 : D1I48479,,,,,
A,DYN,ZERO, refs,,SCP,1BF_A:MODVXT100AH.POINT,SIMOPT = 0,,,,IDBF 1A FAN       OUTBD VIBR XP,0,0,0,4294970000,0,4294970000,IIN : 1CP764 : D1I48479,,,,,
A,DYN,ZERO, refs,,SCP,1BF_A:MODVXT100AJ.POINT,SIMOPT = 0,,,,IDBF 1A FAN       OUTBD VIBR XS,0,0,0,4294970000,0,4294970000,IIN : 1CP764 : D1I48479,,,,,
A,DYN,ZERO, refs,,SCP,1BF_A:MODVYT100AA.POINT,SIMOPT = 0,,,,IDBF 1A MTR       OUTBD VIBR YP,0,0,0,4294970000,0,4294970000,IIN : 1CP764 : D1I48480,,,,,
A,DYN,ZERO, refs,,SCP,1BF_A:MODVYT100AB.POINT,SIMOPT = 0,,,,IDBF 1A MTR       OUTBD VIBR YS,0,0,0,4294970000,0,4294970000,IIN : 1CP764 : D1I48480,,,,,
A,DYN,ZERO, refs,,SCP,1BF_A:MODVYT100AD.POINT,SIMOPT = 0,,,,IDBF 1A MTR       INBD VIBR YP,0,0,0,4294970000,0,4294970000,IIN : 1CP764 : D1I48480,,,,,
A,DYN,ZERO, refs,,SCP,1BF_A:MODVYT100AE.POINT,SIMOPT = 0,,,,IDBF 1A MTR       INBD VIBR YS,0,0,0,4294970000,0,4294970000,IIN : 1CP764 : D1I48480,,,,,
A,DYN,ZERO, refs,,SCP,1BF_A:MODVYT100AF.POINT,SIMOPT = 0,,,,IDBF 1A FAN       INBD VIBR YP,0,0,0,4294970000,0,4294970000,IIN : 1CP764 : D1I48480,,,,,
A,DYN,ZERO, refs,,SCP,1BF_A:MODVYT100AG.POINT,SIMOPT = 0,,,,IDBF 1A FAN       INBD VIBR YS,0,0,0,4294970000,0,4294970000,IIN : 1CP764 : D1I48480,,,,,
A,DYN,ZERO, refs,,SCP,1BF_A:MODVYT100AH.POINT,SIMOPT = 0,,,,IDBF 1A FAN       OUTBD VIBR YP,0,0,0,4294970000,0,4294970000,IIN : 1CP764 : D1I48480,,,,,
A,DYN,ZERO, refs,,SCP,1BF_A:MODVYT100AJ.POINT,SIMOPT = 0,,,,IDBF 1A FAN       OUTBD VIBR YS,0,0,0,4294970000,0,4294970000,IIN : 1CP764 : D1I48480,,,,,
A,DYN,ZERO, refs,,SCP,1BF_A:MODVZT100AB.POINT,SIMOPT = 0,,,,IDBF 1A MTR       OUTBD VIBR ZS,0,0,0,4294970000,0,4294970000,IIN : 1CP764 : D1I48481,,,,,
A,DYN,ZERO, refs,,SCP,1BF_A:MODVZT100AE.POINT,SIMOPT = 0,,,,IDBF 1A MTR       INBD VIBR ZS,0,0,0,4294970000,0,4294970000,IIN : 1CP764 : D1I48481,,,,,
A,DYN,ZERO, refs,,SCP,1BF_A:MODVZT100AG.POINT,SIMOPT = 0,,,,IDBF 1A FAN       INBD VIBR ZS,0,0,0,4294970000,0,4294970000,IIN : 1CP764 : D1I48481,,,,,
A,DYN,ZERO, refs,,SCP,1BF_A:MODVZT100AJ.POINT,SIMOPT = 0,,,,IDBF 1A FAN       OUTBD VIBR ZS,0,0,0,4294970000,0,4294970000,IIN : 1CP764 : D1I48481,,,,,
A,DYN,ZERO, refs,,SCP,1BF_A:MODMO100AKWH.POINT,SIMOPT = 0,KWH,,,IDBF A KWH,0,0,0,1000000000,-20000000,1020000000,RIN : 1CP764 : D1I48432,,,,,
A,DYN,ZERO, refs,,SCP,1BF_A:MODMO100AQ.POINT,SIMOPT = 0,MVAR,,,ID BSTR FAN A MTR MVAR,0,0,0,20.7,-0.414,21.114,RIN : 1CP764 : D1I48432,,,,,
